Label,WikiDate ID,English Description,Language,Wiki Short Lang,Entry
Aad,Q300770,male given name,German,de,Aad
Aad,Q300770,male given name,English,en,Aad
Aad,Q300770,male given name,Persian,fa,آد
Aad,Q300770,male given name,Chinese,zh,阿德
Aadil,Q96476141,masculine given name,English,en,Aadil
Aadu (name),Q300780,male given name,German,de,Aadu
Aadu (name),Q300780,male given name,English,en,Aadu (name)
Aadu (name),Q300780,male given name,Estonian,et,Aadu
Aadu (name),Q300780,male given name,French,fr,Aadu
Aadu (name),Q300780,male given name,Chinese,zh,阿杜 (名)
Aage,Q8736877,male given name,Danish,da,Aage
Aage,Q8736877,male given name,German,de,Aage
Aage,Q8736877,male given name,English,en,Aage
Aage,Q8736877,male given name,Estonian,et,Aage
Aage,Q8736877,male given name,Persian,fa,آگه
Aage,Q8736877,male given name,French,fr,Aage
Aage,Q8736877,male given name,Icelandic,is,Aage
Aagje,Q300804,female given name,German,de,Aagje
Aagje,Q300804,female given name,English,en,Aagje
Aagje,Q300804,female given name,Chinese,zh,阿赫耶
Aagot,Q3482557,female given name,English,en,Aagot
Aagot,Q3482557,female given name,Icelandic,is,Aagot
Aake,Q16157880,given name,English,en,Aake
Aake,Q16157880,given name,Persian,fa,آکه
Aake,Q16157880,given name,Finnish,fi,Aake
Aake,Q16157880,given name,French,fr,Aake
Aaliyah (given name),Q111911843,given name,English,en,Aaliyah (given name)
Aaliyah (given name),Q111911843,given name,Chinese,zh,阿莉娅
Aaly,Q57150659,Wikimedia disambiguation page,German,de,Aaly
Aaly,Q57150659,Wikimedia disambiguation page,English,en,Aaly
Aamir (given name),Q30123614,male given name,English,en,Aamir (given name)
Aapo,Q16001311,male given name,English,en,Aapo
Aapo,Q16001311,male given name,Estonian,et,Aapo
Aapo,Q16001311,male given name,Finnish,fi,Aapo
Aapo,Q16001311,male given name,French,fr,Aapo
Aare (given name),Q25522181,male given name,English,en,Aare (given name)
Aare (given name),Q25522181,male given name,Estonian,et,Aare (eesnimi)
Aare (given name),Q25522181,male given name,Finnish,fi,Aare (nimi)
Aarne,Q21488023,family name,English,en,Aarne
Aarne,Q21488023,family name,Estonian,et,Aarne (perekonnanimi)
Aarne,Q21488023,family name,Persian,fa,آرنه
Aarne,Q21488023,family name,Finnish,fi,Aarne (sukunimi)
Aarne,Q21488023,family name,French,fr,Aarne
Aarne,Q21488023,family name,Chinese,zh,阿尔内 (姓)
Aarni (given name),Q13217185,male given name,English,en,Aarni (given name)
Aarni (given name),Q13217185,male given name,Finnish,fi,Aarni (nimi)
Aarni (given name),Q13217185,male given name,Chinese,zh,阿尔尼 (名)
Aarón,Q21401489,male given name,English,en,Aarón
Aarón,Q21401489,male given name,Spanish,es,Aarón (nombre)
Aarón,Q21401489,male given name,Galician,gl,Aarón (antroponimia)
Aaron (given name),Q905085,male given name,German,de,Aaron (Vorname)
Aaron (given name),Q905085,male given name,English,en,Aaron (given name)
Aaron (given name),Q905085,male given name,Finnish,fi,Aaron (nimi)
Aaron (given name),Q905085,male given name,Latin,la,Aaron (nomen)
Aaron (given name),Q905085,male given name,Polish,pl,Aaron (imię)
Aart,Q5277996,male given name,German,de,Aart
Aart,Q5277996,male given name,English,en,Aart
Aart,Q5277996,male given name,Persian,fa,آرت (نام)
Aarushi,Q93534273,Wikimedia disambiguation page,English,en,Aarushi
Aatos,Q6672912,male given name,German,de,Aatos
Aatos,Q6672912,male given name,English,en,Aatos
Aatos,Q6672912,male given name,Finnish,fi,Aatos
Aatos,Q6672912,male given name,French,fr,Aatos
Aavo,Q33557974,male given name,English,en,Aavo
Aavo,Q33557974,male given name,Estonian,et,Aavo
Aavo,Q33557974,male given name,Persian,fa,آوو (نام)
Ab (given name),Q303855,star in ancient Egypt,German,de,Ab (Dekan)
Ab (given name),Q303855,star in ancient Egypt,English,en,Ab (given name)
Ababu,Q4663133,family name,English,en,Ababu
Abagor,Q18208901,male given name,English,en,Abagor
Abamon,Q18208908,given name,English,en,Abamon
Aban (name),Q16001338,name: given name and family name,English,en,Aban (name)
Abani (name),Q16001344,family name,English,en,Abani (name)
Abas (name),Q16001346,name: given name and family name,English,en,Abas (name)
Abas (name),Q16001346,name: given name and family name,Armenian,hy,Աբաս (անձնանուն)
Abass,Q20155916,given name,English,en,Abass
Abataly,Q18208912,given name,English,en,Abataly
Abatte,Q4663581,family name,English,en,Abatte
Abay (name),Q4663596,family name,German,de,Abay (Familienname)
Abay (name),Q4663596,family name,English,en,Abay (name)
Abba (given name),Q65089281,unisex given name,English,en,Abba (given name)
Abbad,Q56247568,"Arabic name, given name, surname",Arabic,ar,عباد (اسم)
Abbad,Q56247568,"Arabic name, given name, surname",English,en,Abbad
Abbas (name),Q1158601,male given name,Arabic,ar,عباس (اسم)
Abbas (name),Q1158601,male given name,Catalan,ca,Abbàs (nom)
Abbas (name),Q1158601,male given name,German,de,Abbas (Name)
Abbas (name),Q1158601,male given name,English,en,Abbas (name)
Abbas (name),Q1158601,male given name,Persian,fa,عباس
Abbas (name),Q1158601,male given name,French,fr,Abbas (prénom)
Abbas (name),Q1158601,male given name,Kyrgyz,ky,Аббас (түшүнүгү)
Abbas (name),Q1158601,male given name,Polish,pl,Abbas (imię)
Abbas (name),Q1158601,male given name,Russian,ru,Аббас (имя)
Abbas (name),Q1158601,male given name,Slovenian,sl,Abbas
Abbas (name),Q1158601,male given name,Swedish,sv,Abbas (mansnamn)
Abbas (name),Q1158601,male given name,Urdu,ur,عباس (نام)
Abbas (name),Q1158601,male given name,Uzbek,uz,Abbos (ism)
Abbas Quli,Q112957675,No description defined,English,en,Abbas Quli
Abbassi,Q37178544,family name,English,en,Abbassi
Abbe (name),Q16001355,family name,English,en,Abbe (name)
Abbey (given name),Q48981716,name list,English,en,Abbey (given name)
Abbondio,Q3603319,Wikimedia disambiguation page,German,de,Abbondio
Abbondio,Q3603319,Wikimedia disambiguation page,English,en,Abbondio
Abbondio,Q3603319,Wikimedia disambiguation page,Italian,it,Abbondio (disambigua)
Abbud,Q37480908,family name,English,en,Abbud
Abby,Q20898917,female given name,English,en,Abby
Abby,Q20898917,female given name,Igbo,ig,Abby
Abd al-Ali,Q4665264,Wikimedia disambiguation page,German,de,Abdul Ali
Abd al-Ali,Q4665264,Wikimedia disambiguation page,English,en,Abd al-Ali
Abd al-Alim,Q13479668,male given name,Arabic,ar,عبد العليم (اسم)
Abd al-Alim,Q13479668,male given name,Bangla,bn,আব্দুল আলীম (দ্ব্যর্থতা নিরসন)
Abd al-Alim,Q13479668,male given name,Catalan,ca,Abd-al-Alim (nom)
Abd al-Alim,Q13479668,male given name,English,en,Abd al-Alim
Abdul Awwal,Q113999979,No description defined,English,en,Abdul Awwal
Abd al-Azim,Q2511172,male given name,Arabic,ar,عبد العظيم (اسم)
Abd al-Azim,Q2511172,male given name,Catalan,ca,Abd-al-Adhim (nom)
Abd al-Azim,Q2511172,male given name,English,en,Abd al-Azim
Abd al-Azim,Q2511172,male given name,Armenian,hy,Աբդլադիմ
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Arabic,ar,عبد العزيز (اسم)
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Catalan,ca,Abd-al-Aziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Czech,cs,Abd al-Azíz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,German,de,Abd al-Aziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,English,en,Abd al-Aziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Persian,fa,عبدالعزیز (نام)
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Finnish,fi,Abd-ul-Aziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Latin,la,Abdelazizus
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Norwegian,no,Abdalaziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Tajik,tg,Абдулазиз
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Ukrainian,uk,Абдельазіз
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Urdu,ur,عبد العزیز
Abd al-Baqi,Q4665295,Wikimedia disambiguation page,Arabic,ar,عبد الباقي (اسم)
Abd al-Baqi,Q4665295,Wikimedia disambiguation page,English,en,Abd al-Baqi
Abd al-Bari,Q4665303,male given name,Catalan,ca,Abd-al-Bari (nom)
Abd al-Bari,Q4665303,male given name,English,en,Abd al-Bari
Abd al-Basir,Q4665310,male given name,Arabic,ar,عبد البصير (اسم)
Abd al-Basir,Q4665310,male given name,Catalan,ca,Abd-al-Bassir (nom)
Abd al-Basir,Q4665310,male given name,English,en,Abd al-Basir
Abd al-Basit,Q4665313,Wikimedia disambiguation page,Arabic,ar,عبد الباسط (اسم)
Abd al-Basit,Q4665313,Wikimedia disambiguation page,English,en,Abd al-Basit
Abd al-Fattah,Q113024794,male given name,Arabic,ar,عبد الفتاح (اسم)
Abd al-Fattah,Q113024794,male given name,Catalan,ca,Abd-al-Fattah (nom)
Abd al-Fattah,Q113024794,male given name,English,en,Abd al-Fattah
Abd al-Ghaffar,Q4665325,name list,Arabic,ar,عبد الغفور (اسم)
Abd al-Ghaffar,Q4665325,name list,Catalan,ca,Abd-al-Ghaffar (nom)
Abd al-Ghaffar,Q4665325,name list,English,en,Abd al-Ghaffar
Abd al-Ghafur,Q113297829,No description defined,English,en,Abd al-Ghafur
Abd al-Hadi (name),Q4665347,male given name,Arabic,ar,عبد الهادي (اسم)
Abd al-Hadi (name),Q4665347,male given name,Catalan,ca,Abd-al-Hadi (nom)
Abd al-Hadi (name),Q4665347,male given name,German,de,Abdulhadi
Abd al-Hadi (name),Q4665347,male given name,English,en,Abd al-Hadi (name)
Abd al-Hadi (name),Q4665347,male given name,Hebrew,he,עבד אל-האדי
Abd al-Hadi (name),Q4665347,male given name,Japanese,ja,アブドゥルハーディー
Abd al-Hafiz,Q4665356,male given name (عبد الحفيظ),Arabic,ar,عبد الحفيظ (اسم)
Abd al-Hafiz,Q4665356,male given name (عبد الحفيظ),English,en,Abd al-Hafiz
Abd al-Halim,Q4665382,male given name,Arabic,ar,عبد الحليم (اسم)
Abd al-Halim,Q4665382,male given name,Central Bikol,bcl,Abdul Halim
Abd al-Halim,Q4665382,male given name,Bangla,bn,আবদুল হালিম (দ্ব্যর্থতা নিরসন)
Abd al-Halim,Q4665382,male given name,Catalan,ca,Abd-al-Halim (nom)
Abd al-Halim,Q4665382,male given name,English,en,Abd al-Halim
Abd al-Halim,Q4665382,male given name,Japanese,ja,アブドゥル・ハリム (曖昧さ回避)
Abd al-Halim,Q4665382,male given name,Urdu,ur,عبد الحلیم
Abd al-Halim,Q4665382,male given name,Chinese,zh,阿都哈林
Abdul Hamid,Q13422873,name: given name and family name,Arabic,ar,عبد الحميد (اسم)
Abdul Hamid,Q13422873,name: given name and family name,Catalan,ca,Abd-al-Hamid (nom)
Abdul Hamid,Q13422873,name: given name and family name,German,de,Abdelhamid
Abdul Hamid,Q13422873,name: given name and family name,English,en,Abdul Hamid
Abdul Hamid,Q13422873,name: given name and family name,Italian,it,ʿAbd al-Ḥamīd
Abdul Hamid,Q13422873,name: given name and family name,Japanese,ja,アブドゥル・ハミード
Abdul Hamid,Q13422873,name: given name and family name,Korean,ko,압뒬하미트
Abdul Hamid,Q13422873,name: given name and family name,Dutch,nl,Abdul Hamid
Abdul Hamid,Q13422873,name: given name and family name,Romanian,ro,Abdul Hamid
Abdul Hamid,Q13422873,name: given name and family name,Tajik,tg,Абдулҳамид
Abd al-Haqq,Q28053508,male given name,Arabic,ar,عبد الحق (اسم)
Abd al-Haqq,Q28053508,male given name,Catalan,ca,Abd-al-Haqq (nom)
Abd al-Haqq,Q28053508,male given name,English,en,Abd al-Haqq
Abd al-Jabbar (name),Q4054520,Wikimedia disambiguation page,Arabic,ar,عبد الجبار (اسم)
Abd al-Jabbar (name),Q4054520,Wikimedia disambiguation page,Bangla,bn,আবদুল জব্বার (দ্ব্যর্থতা নিরসন)
Abd al-Jabbar (name),Q4054520,Wikimedia disambiguation page,Catalan,ca,Abd-al-Jabbar (nom)
Abd al-Jabbar (name),Q4054520,Wikimedia disambiguation page,English,en,Abd al-Jabbar (name)
Abd al-Jabbar (name),Q4054520,Wikimedia disambiguation page,Persian,fa,عبدالجبار
Abd al-Jabbar (name),Q4054520,Wikimedia disambiguation page,Russian,ru,Абдул-Джаббар
Abd al-Jalil,Q28053499,male given name,Arabic,ar,عبد الجليل (اسم)
Abd al-Jalil,Q28053499,male given name,Bangla,bn,আব্দুল জলিল (দ্ব্যর্থতা নিরসন)
Abd al-Jalil,Q28053499,male given name,English,en,Abd al-Jalil
Abd al-Jamil,Q4665445,male given name,Arabic,ar,عبد الجميل (اسم)
Abd al-Jamil,Q4665445,male given name,Catalan,ca,Abd-al-Jamil (nom)
Abd al-Jamil,Q4665445,male given name,English,en,Abd al-Jamil
Abdul Karim,Q317304,male given name,Arabic,ar,عبد الكريم (اسم)
Abdul Karim,Q317304,male given name,Azerbaijani,az,Əbdülkərim
Abdul Karim,Q317304,male given name,Bangla,bn,আবদুল করিম (দ্ব্যর্থতা নিরসন)
Abdul Karim,Q317304,male given name,Catalan,ca,Abd-al-Karim (nom)
Abdul Karim,Q317304,male given name,German,de,Abdul Karim
Abdul Karim,Q317304,male given name,English,en,Abdul Karim
Abdul Karim,Q317304,male given name,Persian,fa,عبدالکریم
Abdul Karim,Q317304,male given name,Armenian,hy,Աբդլքարիմ
Abdul Karim,Q317304,male given name,Japanese,ja,アブドゥル・カリーム
Abdul Karim,Q317304,male given name,Russian,ru,Абд аль-Карим
Abdul Karim,Q317304,male given name,Slovak,sk,Abd al-Karím
Abdul Karim,Q317304,male given name,Turkish,tr,Abdülkerim
Abd al-Khaliq,Q4665487,male given name,Arabic,ar,عبد الخالق (اسم)
Abd al-Khaliq,Q4665487,male given name,Bangla,bn,আবদুল খালেক (দ্ব্যর্থতা নিরসন)
Abd al-Khaliq,Q4665487,male given name,Catalan,ca,Abd-al-Khàliq (nom)
Abd al-Khaliq,Q4665487,male given name,English,en,Abd al-Khaliq
Abdul Latif,Q317333,male given name (عبد اللطيف),Arabic,ar,عبد اللطيف (اسم)
Abdul Latif,Q317333,male given name (عبد اللطيف),Moroccan Arabic,ary,عبد اللطيف
Abdul Latif,Q317333,male given name (عبد اللطيف),Bangla,bn,আবদুল লতিফ (দ্ব্যর্থতা নিরসন)
Abdul Latif,Q317333,male given name (عبد اللطيف),Catalan,ca,Abd-al-Latif (nom)
Abdul Latif,Q317333,male given name (عبد اللطيف),English,en,Abdul Latif
Abdul Latif,Q317333,male given name (عبد اللطيف),Spanish,es,Abdul Latif
Abdul Latif,Q317333,male given name (عبد اللطيف),Russian,ru,Абду-ль-Латиф
Abdul Majid,Q479670,male given name,Arabic,ar,عبد المجيد (اسم)
Abdul Majid,Q479670,male given name,Azerbaijani,az,Əbdül Məcid
Abdul Majid,Q479670,male given name,Bulgarian,bg,Абдул Меджид (пояснение)
Abdul Majid,Q479670,male given name,Bangla,bn,আবদুল মজিদ (দ্ব্যর্থতা নিরসন)
Abdul Majid,Q479670,male given name,Catalan,ca,Abd-al-Majid (nom)
Abdul Majid,Q479670,male given name,German,de,Abdulmajid
Abdul Majid,Q479670,male given name,English,en,Abdul Majid
Abdul Majid,Q479670,male given name,French,fr,Abdul Madjid
Abdul Majid,Q479670,male given name,Hungarian,hu,Abdul-Medzsid (egyértelműsítő lap)
Abdul Majid,Q479670,male given name,Japanese,ja,アブデュルメジト
Abdul Majid,Q479670,male given name,Swedish,sv,Abd ül-Mecid
Abd al-Mannan,Q4665547,Wikimedia disambiguation page,Bangla,bn,আবদুল মান্নান (দ্ব্যর্থতা নিরসন)
Abd al-Mannan,Q4665547,Wikimedia disambiguation page,English,en,Abd al-Mannan
Abd al-Mannan,Q4665547,Wikimedia disambiguation page,French,fr,Abdul Mannan
Abd al-Mun'im,Q4665566,male given name,Arabic,ar,عبد المنعم (اسم)
Abd al-Mun'im,Q4665566,male given name,Catalan,ca,Abd-al-Múnim (nom)
Abd al-Mun'im,Q4665566,male given name,English,en,Abd al-Mun'im
Abd al-Muttalib (name),Q11723816,Wikimedia disambiguation page,English,en,Abd al-Muttalib (name)
Abd al-Nur,Q56597734,Wikimedia disambiguation page,Arabic,ar,آيت عبد النور (توضيح)
Abd al-Nur,Q56597734,Wikimedia disambiguation page,English,en,Abd al-Nur
Abd al-Nur,Q56597734,Wikimedia disambiguation page,French,fr,Abdennour
Abd al-Qayyum,Q4665610,male given name,Arabic,ar,عبد القيوم (اسم)
Abd al-Qayyum,Q4665610,male given name,Catalan,ca,Abd-al-Qayyum (nom)
Abd al-Qayyum,Q4665610,male given name,English,en,Abd al-Qayyum
Abd al-Qayyum,Q4665610,male given name,Vietnamese,vi,Abdul Qayyum (định hướng)
Abd al-Ra'uf,Q4666246,male given name,Arabic,ar,عبد الرؤوف (اسم)
Abd al-Ra'uf,Q4666246,male given name,English,en,Abd al-Ra'uf
Abd al-Ra'uf,Q4666246,male given name,Western Punjabi,pnb,عبدالرؤف
Abd al-Ra'uf,Q4666246,male given name,Urdu,ur,عبدالرؤف
Abd al-Rabb,Q4666228,male given name,Arabic,ar,عبد الرب (اسم)
Abd al-Rabb,Q4666228,male given name,Bangla,bn,আবদুর রব (দ্ব্যর্থতা নিরসন)
Abd al-Rabb,Q4666228,male given name,English,en,Abd al-Rabb
'Abd al-Rahim,Q20995570,male given name (عبد الرحيم),Arabic,ar,عبد الرحيم (اسم)
'Abd al-Rahim,Q20995570,male given name (عبد الرحيم),English,en,'Abd al-Rahim
'Abd al-Rahim,Q20995570,male given name (عبد الرحيم),Chinese,zh,阿都拉欣
Abd al-Rahman,Q307378,male given name,Arabic,ar,عبد الرحمن (اسم)
Abd al-Rahman,Q307378,male given name,Azerbaijani,az,Əbdürrəhman
Abd al-Rahman,Q307378,male given name,Catalan,ca,Abd-ar-Rahman (nom)
Abd al-Rahman,Q307378,male given name,German,de,Abdurrahman
Abd al-Rahman,Q307378,male given name,English,en,Abd al-Rahman
Abd al-Rahman,Q307378,male given name,Spanish,es,Abderrahmane
Abd al-Rahman,Q307378,male given name,Basque,eu,Abd ar-Rahman
Abd al-Rahman,Q307378,male given name,Galician,gl,Abd al-Rahman
Abd al-Rahman,Q307378,male given name,Hausa,ha,Abderrahmane
Abd al-Rahman,Q307378,male given name,Indonesian,id,Abdurrahman
Abd al-Rahman,Q307378,male given name,Italian,it,Abd ar-Rahman
Abd al-Rahman,Q307378,male given name,Japanese,ja,アブドゥル・ラフマーン
Abd al-Rahman,Q307378,male given name,Malayalam,ml,അബ്ദുൽ റഹ്മാൻ
Abd al-Rahman,Q307378,male given name,Norwegian,no,ʿAbd ar-Rahman
Abd al-Rahman,Q307378,male given name,Polish,pl,Abd ar-Rahman
Abd al-Rahman,Q307378,male given name,Portuguese,pt,Abderramão
Abd al-Rahman,Q307378,male given name,Russian,ru,Абд ар-Рахман
Abd al-Rahman,Q307378,male given name,Swedish,sv,Abd ar-Rahman
Abd al-Rahman,Q307378,male given name,Turkish,tr,Abdurrahman
Abd al-Rahman,Q307378,male given name,Ukrainian,uk,Абдаррахман
Abd al-Rahman,Q307378,male given name,Urdu,ur,عبد الرحمٰن
Abd al-Rahman,Q307378,male given name,Vietnamese,vi,Abdul Rahman
Abd al-Raqib,Q28053386,male given name,Arabic,ar,عبد الرقيب (اسم)
Abd al-Raqib,Q28053386,male given name,Catalan,ca,Abd-ar-Raqib (nom)
Abd al-Raqib,Q28053386,male given name,English,en,Abd al-Raqib
Abdul Rashid (name),Q16001377,male given name,Arabic,ar,عبد الرشيد (اسم)
Abdul Rashid (name),Q16001377,male given name,Catalan,ca,Abd-ar-Raixid (nom)
Abdul Rashid (name),Q16001377,male given name,English,en,Abdul Rashid (name)
Abdul Rashid (name),Q16001377,male given name,Japanese,ja,アブドゥッラシード
Abd al-Raziq,Q113297749,No description defined,English,en,Abd al-Raziq
Abd al-Razzaq,Q317438,male given name,Arabic,ar,عبد الرزاق (اسم)
Abd al-Razzaq,Q317438,male given name,English,en,Abd al-Razzaq
Abd al-Razzaq,Q317438,male given name,Russian,ru,Абд ар-Раззак
Abd al-Razzaq,Q317438,male given name,Ukrainian,uk,Абдулразак
Abd al-Sabur,Q4666309,Wikimedia disambiguation page,Catalan,ca,Abd-as-Sabur (nom)
Abd al-Sabur,Q4666309,Wikimedia disambiguation page,English,en,Abd al-Sabur
Abd al-Salam (name),Q4666312,male given name,Arabic,ar,عبد السلام (اسم)
Abd al-Salam (name),Q4666312,male given name,Bangla,bn,আবদুস সালাম
Abd al-Salam (name),Q4666312,male given name,Catalan,ca,Abd-as-Salam (nom)
Abd al-Salam (name),Q4666312,male given name,German,de,Abdus Salaam
Abd al-Salam (name),Q4666312,male given name,English,en,Abd al-Salam (name)
Abd al-Salam (name),Q4666312,male given name,Persian,fa,عبد السلام (نام)
Abd al-Salam (name),Q4666312,male given name,Western Punjabi,pnb,عبد السلام (نام)
Abd al-Salam (name),Q4666312,male given name,Urdu,ur,عبد السلام (نام)
Abdul Samad,Q13057047,male given name (عبد الصمد),Arabic,ar,عبد الصمد (اسم)
Abdul Samad,Q13057047,male given name (عبد الصمد),Bangla,bn,আবদুস সামাদ
Abdul Samad,Q13057047,male given name (عبد الصمد),Catalan,ca,Abd-as-Sàmad (nom)
Abdul Samad,Q13057047,male given name (عبد الصمد),English,en,Abdul Samad
Abdul Samad,Q13057047,male given name (عبد الصمد),Persian,fa,عبدالصمد (نام)
Abdul Samad,Q13057047,male given name (عبد الصمد),Russian,ru,Абдуссамад
Abd al-Sattar,Q28053523,A Bangladeshi politician,Catalan,ca,Abd-as-Sattar (nom)
Abd al-Sattar,Q28053523,A Bangladeshi politician,English,en,Abd al-Sattar
Abd al-Sattar,Q28053523,A Bangladeshi politician,Simple English,en-simple,Abdus Sattar
Abd al-Shakur,Q4666328,male given name,Arabic,ar,عبد الشكور (اسم)
Abd al-Shakur,Q4666328,male given name,Catalan,ca,Abd-aix-Xàkir (nom)
Abd al-Shakur,Q4666328,male given name,English,en,Abd al-Shakur
Abd al-Uzza,Q4664595,male given name,Arabic,ar,عبد العزى (اسم)
Abd al-Uzza,Q4664595,male given name,Catalan,ca,Abd-al-Uzza (nom)
Abd al-Uzza,Q4664595,male given name,English,en,Abd al-Uzza
Abd al-Uzza,Q4664595,male given name,Russian,ru,Абд аль-Узза
Abd al-Wadud,Q4665739,male given name,Arabic,ar,عبد الودود (اسم)
Abd al-Wadud,Q4665739,male given name,Catalan,ca,Abd-al-Wadud (nom)
Abd al-Wadud,Q4665739,male given name,English,en,Abd al-Wadud
Abdul Wahhab,Q11723828,male given name (عبد الوهاب),Arabic,ar,عبد الوهاب (اسم)
Abdul Wahhab,Q11723828,male given name (عبد الوهاب),Catalan,ca,Abd-al-Wahhab (nom)
Abdul Wahhab,Q11723828,male given name (عبد الوهاب),English,en,Abdul Wahhab
Abdul Wahhab,Q11723828,male given name (عبد الوهاب),Urdu,ur,عبد الوہاب
'Abd al-Wahid,Q4665752,male given name,Arabic,ar,عبد الواحد (اسم)
'Abd al-Wahid,Q4665752,male given name,Bangla,bn,আব্দুল ওয়াহিদ
'Abd al-Wahid,Q4665752,male given name,Catalan,ca,Abd-al-Wàhid (nom)
'Abd al-Wahid,Q4665752,male given name,English,en,'Abd al-Wahid
Abd al-Zahir,Q4665761,Wikimedia disambiguation page,Arabic,ar,عبد الظاهر (اسم)
Abd al-Zahir,Q4665761,Wikimedia disambiguation page,English,en,Abd al-Zahir
Abd al-Zahra,Q4665766,Wikimedia disambiguation page,Arabic,ar,عبد الزهراء (اسم)
Abd al-Zahra,Q4665766,Wikimedia disambiguation page,English,en,Abd al-Zahra
Abd al-Zahra,Q4665766,Wikimedia disambiguation page,Korean,ko,압둘자흐라
Abd Manaf (name),Q4664549,male given name,Arabic,ar,عبد مناف (اسم)
Abd Manaf (name),Q4664549,male given name,Catalan,ca,Abd-Manaf (nom)
Abd Manaf (name),Q4664549,male given name,Greek,el,Αμπντ Μανάφ
Abd Manaf (name),Q4664549,male given name,English,en,Abd Manaf (name)
Abd Rabbo,Q4664544,male given name,Arabic,ar,عبد ربه (اسم)
Abd Rabbo,Q4664544,male given name,English,en,Abd Rabbo
Abdaikl,Q18208921,given name,English,en,Abdaikl
Abd al-Ahad,Q4665245,Wikimedia disambiguation page,English,en,Abd al-Ahad
Abd al-Ahad,Q4665245,Wikimedia disambiguation page,Armenian,hy,Աբդլահադ
Abd al-Ahad,Q4665245,Wikimedia disambiguation page,Norwegian,no,Abdul Ahad
Abdala,Q21446893,family name,Catalan,ca,Abdala
Abdala,Q21446893,family name,English,en,Abdala
Abdala,Q21446893,family name,Italian,it,Abdala
Abdala,Q21446893,family name,Vietnamese,vi,Abdala
Abdelilah,Q112566843,No description defined,English,en,Abdelilah
Abdelkarim,Q307967,male given name,German,de,Abdelkarim
Abdelkarim,Q307967,male given name,English,en,Abdelkarim
Abdi,Q25936438,male given name,Arabic,ar,عبدي (اسم)
Abdi,Q25936438,male given name,German,de,Abdi (Vorname)
Abdi,Q25936438,male given name,English,en,Abdi
Abdi,Q25936438,male given name,Korean,ko,압디
Abdi,Q25936438,male given name,Norwegian,no,Abdi
Abdiel,Q308141,"one of the seraphim, mentioned in Milton's Paradise Lost",Arabic,ar,عبدئيل
Abdiel,Q308141,"one of the seraphim, mentioned in Milton's Paradise Lost",English,en,Abdiel
Abdiel,Q308141,"one of the seraphim, mentioned in Milton's Paradise Lost",French,fr,Abdiel
Abdiel,Q308141,"one of the seraphim, mentioned in Milton's Paradise Lost",Japanese,ja,アブディエル
Abdiel,Q308141,"one of the seraphim, mentioned in Milton's Paradise Lost",Portuguese,pt,Abdiel
Abdiel,Q308141,"one of the seraphim, mentioned in Milton's Paradise Lost",Chinese,zh,亞必迭
Abdoulaye,Q15781299,male given name,German,de,Abdoulaye
Abdoulaye,Q15781299,male given name,English,en,Abdoulaye
Abdoulaye,Q15781299,male given name,French,fr,Abdoulaye
Abdul,Q19818134,male given name,German,de,Abdul
Abdul,Q19818134,male given name,English,en,Abdul
Abdul,Q19818134,male given name,Hausa,ha,Abdul
Abdul,Q19818134,male given name,Italian,it,Abdul
Abdul,Q19818134,male given name,Japanese,ja,アブドゥル
Abdul,Q19818134,male given name,Manipuri,mni,ꯑꯕꯗꯨꯜ
Abdul,Q19818134,male given name,Malay,ms,Abdul
Abdul,Q19818134,male given name,Russian,ru,Абдул
Abdul,Q19818134,male given name,Swedish,sv,Abdul
Abdul Ganiyu,Q106981678,No description defined,English,en,Abdul Ganiyu
Abdul Ghani,Q4665337,Wikimedia disambiguation page,Arabic,ar,عبد الغني (اسم)
Abdul Ghani,Q4665337,Wikimedia disambiguation page,Bangla,bn,আব্দুল গনি (দ্ব্যর্থতা নিরসন)
Abdul Ghani,Q4665337,Wikimedia disambiguation page,Catalan,ca,Abd-al-Ghaní
Abdul Ghani,Q4665337,Wikimedia disambiguation page,English,en,Abdul Ghani
Abdul Ghani,Q4665337,Wikimedia disambiguation page,Russian,ru,Абду-ль-Гани
Abdul Ghani,Q4665337,Wikimedia disambiguation page,Ukrainian,uk,Абдулгані
Abdul Hai,Q4665365,male given name,Arabic,ar,عبد الحي (اسم)
Abdul Hai,Q4665365,male given name,Bangla,bn,আব্দুল হাই (দ্ব্যর্থতা নিরসন)
Abdul Hai,Q4665365,male given name,Catalan,ca,Abd-al-Hayy (nom)
Abdul Hai,Q4665365,male given name,English,en,Abdul Hai
Abdul Hakim,Q4665376,male given name,Arabic,ar,عبد الحكيم (اسم)
Abdul Hakim,Q4665376,male given name,Bangla,bn,আবদুল হাকিম (দ্ব্যর্থতা নিরসন)
